TITLE,P/NUMBER,TX DATE,SPOOL NO,FILE NAME,
,,,,,
WILD ABOUT NATURE,PEET034K,3/6/07,WG1323,WG0001323_PEET034K.mxf,
WILD ABOUT NATURE,PEET035E,3/13/07,WG1841,WG0001841_PEET035E.mxf,
WILD ABOUT NATURE,PEET036Y,3/20/07,WG2075,WG0002075_PEET036Y.mxf,
WILD ABOUT NATURE,PEET037S,3/27/07,WG2717,WG0002717_PEET037S.mxf,
LANDMARKS :THE RIVER SEVERN:THE COURSE OF THE RIVER ,ESBV261E ,1/6/97,WG5777  ,WG0005777_ESBV261E.mxf,
A VISIT TO BOTANIC GARDEN:CARDIFF BAY   ,PEER029S  ,1/17/05,WG16622,WG0016622_PEER029S.mxf,
TARO NAW : 4:OIL SPILL,PCAC151N,4/1/96,WG3298,WG0003298_PCAC151N.mxf,NOT USING
WEEK IN WEEK OUT:WILDER WALES,PEAT003B,5/23/06,WG19443,WG0019443_PEAT003B.mxf,
THE REAL WORLD:3:RURAL POVERTY,PEAL086P,7/18/00,WG25250,WG0025250_PEAL086P.mxf,
THE REAL WORLD:5:TOURISM.,PEAL087J,8/1/00,WG10220,WG0010220_PEAL087J.mxf,
WEEK IN WEEK OUT:WHAT A WASTE,PEAS020J,3/7/06,WG25332,WG0025332_PEAS020J.mxf,
AIMING FOR EXCELLENCE:TRANSITION.,PEER034N ,11/23/04,WG16287  ,WG0016287_PEER034N.mxf,
AIMING FOR EXCELLENCE:ICT.,PEEP028P,3/22/04,WG15232 ,WG0015232_PEEP028P.mxf,
AIMING FOR EXCELLENCE:DEVELOPING THINKING:1,PEES036F ,3/23/06,WG19077,WG0019077_PEES036F.mxf,
AIMING FOR EXCELLENCE:DEVELOPING THINKING:2,PEES037A ,3/30/06,WG19079,WG0019079_PEES037A.mxf,
AIMING FOR EXCELLENCE:1:LITERACY,PEEN002J ,3/24/03,WG13317,WG0013317_PEEN002J.mxf,
AIMING FOR EXCELLENCE:2:NUMERACY.,PEEN061L ,3/31/03,WG13356,WG0013356_PEEN061L.mxf,
SNOWDONIA 1890 UNCOVERED:1,WEEA035S ,10/25/10,WG28006,WG0028006_WEEA035S.mxf,AWAITING RESPONSE FROM INDIE
SNOWDONIA 1890 UNCOVERED:2.,WEEA036L   ,11/2/10,WG28131,WG0028131_WEEA036L.mxf,AWAITING RESPONSE FROM INDIE
WORLD RELIGIONS:JUDAISM..,PEER012S ,1/24/05,WG22306,WG0022306_PEER012S.mxf,
WORLD RELIGIONS:CHRISTIANITY,PEER013L ,1/24/05,WG16671,WG0016671_PEER013L.mxf,
WORLD RELIGIONS:ISLAM.,PEER014F ,1/31/05,WG16684,WG0016684_PEER014F.mxf,
WORLD RELIGIONS:SIKHISM.,PEER015A ,1/31/05,WG22307,WG0022307_PEER015A.mxf,
ANELU AT RAGORIAETH:TROSGLWYDDO..,PCER038J ,11/3/04,WG17254,WG0017254_PCER038J.mxf,
ANELU AT RAGORIAETH Technoleg (TGCH),PCEP027P ,2/25/04,WG15591 ,WG0015591_PCEP027P.mxf,
ANELU AT RAGORIAETH: Datblygu Sgiliau Meddwl 1,PCES012R,3/9/06,WG18978,WG0018978_PCES012R.mxf,
ANELU AT RAGORIAETH:LLYTHRENNEDD.,PCEN005K ,11/27/03,WG13814,WG0013814_PCEN005K.mxf,
TACTEG GWYDDONIAETH CA2:1,PCEP012D ,2/24/04,WG15227   ,WG0015227_PCEP012D.mxf,
TACTEG GWYDDONIAETH CA2:2,PCEP013X,2/26/04,WG15231 ,WG0015231_PCEP013X.mxf,
TACTEG GWYDDONIAETH CA2:3,PCEP014R ,3/2/04,WG15230,WG0015230_PCEP014R.mxf,
TACTEG GWYDDONIAETH CA2:4,PCEP015K,3/4/04,WG15226  ,WG0015226_PCEP015K.mxf,
TACTEG GWYDDONIAETH CA2:5,PCEP016E,3/9/04,WG15229,WG0015229_PCEP016E.mxf,
TACTEG GWYDDONIAETH CA2:7.,PCEP018S ,3/16/04,WG15237,WG0015237_PCEP018S.mxf,
TACTEG GWYDDONIAETH CA2:8.,PCEP019L ,3/18/04,WG15239,WG0015239_PCEP019L.mxf,
TACTEG GWYDDONIAETH CA2:6,PCEP017Y  ,2/22/05,WG15228,WG0015228_PCEP017Y.mxf,
WWW.CYMRU:1.,PCEM020S,1/10/02,WG11323 ,WG0011323_PCEM020S.mxf,
WWW.CYMRU:2.,PCEM021L,1/17/02,WG11324 ,WG0011324_PCEM021L.mxf,
WWW.CYMRU:3,PCEM022F,1/24/02,WG12787 ,WG0012787_PCEM022F.mxf,
WWW.CYMRU:4,PCEM023A,1/31/02,WG12777,WG0012777_PCEM023A.mxf,
WWW.CYMRU:5,PCEM024T,2/7/02,WG12778,WG0012778_PCEM024T.mxf,
WWW.CYMRU:6,PCEM025N,2/21/02,WG12791 ,WG0012791_PCEM025N.mxf,
WWW.CYMRU:7,PCEM026H,2/28/02,WG12779  ,WG0012779_PCEM026H.mxf,
WWW.CYMRU:8,PCEM027B ,3/7/02,WG12790 ,WG0012790_PCEM027B.mxf,NOT USING
WWW.CYMRU:9,PCEM028W ,3/14/02,WG12788  ,WG0012788_PCEM028W.mxf,
WWW.CYMRU:10,PCEM029P,3/21/02,WG12789 ,WG0012789_PCEM029P.mxf,
CREFYDDAU'R BYD:1:IDDEWIAETH.,PCER022D,2/24/05,WG19375 ,WG0019375_PCER022D.mxf,
CREFYDDAU'R BYD:2:CRISTNOGAETH,PCER023X ,3/3/05,WG19374  ,WG0019375_PCER023X.mxf,
CREFYDDAU'R BYD:3:ISLAM,PCER024R,3/10/05,WG19376 ,WG0019376_PCER024R.mxf,
CREFYDDAU'R BYD:4:SICIAITH.,PCER025K,3/17/05,WG19373,WG0019373_PCER025K.mxf,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,